employee_id,department,employment_year,pension_plan,monthly_salary_sek,working_ratio,training_hours_2024,overtime_hours_2024
56,Logistics,2002,1,39089.39,0.9,3,0
57,IT,2002,1,48276.58,0.85,11,3
58,IT,2002,1,43800.62,0.85,18,12
59,Marketing,2002,1,41332.08,0.9,20,16
60,Sales,2002,1,43414.77,0.8,13,20
61,Marketing,2002,1,33282.21,0.75,11,13
62,Procurement,2002,1,37449.43,0.8,13,16
63,Operations,2002,1,31297.79,0.75,10,15
64,HR,2002,1,36292.98,0.9,14,0
65,IT,2002,1,32509.18,0.8,1,1
66,Sales,2002,1,38126.32,0.9,6,5
67,HR,2002,1,38853.25,0.85,11,0
68,Logistics,2002,1,38974.21,0.8,4,19
69,Marketing,2002,1,33239.63,0.85,15,7
70,IT,2002,1,40747.46,0.8,17,10
71,Support,2002,1,34534.4,0.85,4,18
72,R&D,2002,1,33617.2,0.9,11,17
73,Operations,2002,1,37048.15,0.9,15,18
74,Finance,2002,1,37329.45,0.85,8,18
75,Support,2002,1,30019.66,0.9,16,13
76,Procurement,2002,1,32568.24,1.0,15,9
77,IT,2002,1,31640.98,0.85,14,3
78,Support,2002,1,30463.89,1.0,8,5
79,IT,2002,1,33998.13,0.75,5,11
80,Logistics,2002,1,30891.82,0.8,12,10
81,Sales,2002,1,41718.78,1.0,17,15
82,HR,2002,1,47008.25,0.85,4,19
83,Sales,2002,1,33740.92,0.9,3,0
84,Procurement,2002,1,35278.05,0.85,1,10
85,R&D,2002,1,45369.64,0.85,9,9
86,IT,2002,1,31767.59,1.0,8,3
87,R&D,2002,1,40613.84,0.9,17,2
88,Support,2002,1,41421.83,0.9,1,14
89,R&D,2002,1,45679.79,0.85,11,19
90,Logistics,2002,1,48082.26,0.75,6,5
91,Logistics,2002,1,33111.56,0.75,6,5
92,Finance,2002,1,49157.31,0.9,16,6
93,R&D,2002,1,42008.51,0.85,4,14
94,HR,2002,1,34099.03,0.9,7,6
95,HR,2002,1,38516.17,0.85,18,3
96,Support,2002,1,32184.44,0.9,1,6
97,Finance,2002,1,41827.31,0.9,1,20
98,HR,2002,1,48362.22,0.85,20,20
99,R&D,2002,1,49810.31,0.9,5,16
100,Sales,2002,1,36244.94,0.8,7,10
101,HR,2002,1,31572.61,0.85,0,19
102,Finance,2002,1,31622.26,0.9,15,15
103,Procurement,2002,1,47101.73,0.75,17,18
104,Finance,2002,1,30977.32,0.9,10,5
105,Operations,2002,1,44395.17,1.0,0,4
106,Support,2002,1,42601.89,1.0,11,12
107,Marketing,2002,1,43072.24,0.8,12,18
108,Sales,2002,1,44726.6,0.75,17,10
109,Logistics,2002,1,45175.68,0.8,18,16
110,Sales,2002,1,30522.1,1.0,7,14
111,Sales,2002,1,43693.29,0.8,0,5
112,Marketing,2002,1,35109.36,0.85,1,12
113,Finance,2002,1,33682.29,0.9,7,8
114,Finance,2002,1,45322.68,0.85,1,18
115,Finance,2002,1,33214.34,0.75,16,16
116,IT,2002,1,36918.1,1.0,5,3
117,IT,2002,1,36048.77,0.8,9,5
118,Operations,2002,1,38624.74,1.0,8,12
119,HR,2002,1,39250.4,0.9,11,0
120,IT,2002,1,42429.17,0.9,20,4
121,R&D,2002,1,47431.75,0.85,19,10
122,Sales,2002,1,36577.6,0.75,19,4
123,IT,2002,1,37653.26,1.0,13,2
124,Operations,2002,1,37414.78,0.9,17,17
125,IT,2002,1,31231.06,0.85,10,16
126,Sales,2002,1,42111.73,0.9,5,0
127,Marketing,2002,1,47073.89,0.75,11,9
128,Marketing,2002,1,42825.11,0.85,8,4
129,Support,2002,1,38019.17,1.0,1,2
130,Operations,2002,1,41409.65,0.8,8,8
131,Marketing,2002,1,30584.0,0.75,15,17
132,Support,2002,1,36175.88,0.75,12,11
133,Finance,2002,1,38358.18,0.85,18,18
134,Marketing,2002,1,35499.88,0.75,5,16
135,Sales,2002,1,47766.53,0.75,6,19
136,Procurement,2002,1,44292.19,1.0,8,15
137,Support,2002,1,32859.66,1.0,9,0
138,Marketing,2002,1,43876.89,0.9,4,15
139,Finance,2002,1,32475.85,0.75,20,0
140,Sales,2002,1,31607.82,0.9,1,1
141,IT,2002,1,43306.22,0.75,11,10
142,Logistics,2002,1,42966.84,0.9,1,20
143,IT,2002,1,44245.72,0.8,19,15
144,Finance,2002,1,48265.69,0.8,16,9
145,Marketing,2002,1,45183.4,1.0,16,17
146,Support,2002,1,42047.42,0.85,7,6
147,Finance,2002,1,49334.13,0.85,1,19
148,Logistics,2002,1,37915.07,1.0,2,0
149,Procurement,2002,1,49542.36,0.8,11,14
150,Procurement,2002,1,49293.83,0.9,4,7
151,Logistics,2002,1,32346.53,0.8,2,20
152,Sales,2002,1,44851.79,1.0,7,13
153,Finance,2002,1,44253.93,0.85,18,4
154,Finance,2002,1,47326.76,0.8,18,19
155,IT,2002,1,39935.14,0.8,0,9
156,Finance,2002,1,39150.12,0.85,2,18
157,Support,2002,1,31832.62,0.9,16,8
158,IT,2002,1,42616.1,0.85,20,8
159,R&D,2002,1,38095.81,0.9,14,10
160,R&D,2002,1,49881.23,0.8,20,18
161,Sales,2002,1,48414.05,1.0,18,10
162,Procurement,2002,1,41594.95,1.0,16,8
163,HR,2002,1,39905.03,0.85,8,17
164,Support,2002,1,36113.25,1.0,7,17
165,Procurement,2002,1,38892.43,0.9,7,16
166,Procurement,2002,1,45685.27,0.8,5,4
167,Procurement,2002,1,39434.09,0.75,16,10
168,Support,2002,1,38383.38,0.8,12,8
169,Finance,2002,1,44982.67,0.8,18,8
170,Marketing,2002,1,42903.26,0.9,18,9
171,Sales,2002,1,41246.45,0.85,9,3
172,Operations,2002,1,47799.69,0.8,1,15
173,Sales,2002,1,34205.78,0.85,3,18
174,HR,2002,1,36434.55,0.9,5,11
175,Logistics,2002,1,39477.41,0.85,6,9
176,HR,2002,1,45315.74,0.8,9,1
177,Support,2002,1,46991.57,0.9,18,17
178,Operations,2002,1,37331.05,1.0,10,0
179,Finance,2002,1,30108.69,0.85,12,8
180,R&D,2002,1,30586.54,0.75,6,5
181,Operations,2002,1,38377.62,0.75,20,11
182,Logistics,2002,1,48759.28,0.85,10,19
183,R&D,2002,1,47864.64,0.75,15,16
184,Operations,2002,1,34112.77,0.75,3,9
185,Logistics,2002,1,43212.26,0.8,5,17
186,Procurement,2002,1,47955.34,0.8,0,17
187,Support,2002,1,43680.09,0.75,5,13
188,Support,2002,1,42660.14,0.75,12,14
189,Logistics,2002,1,46197.59,0.85,11,20
190,HR,2002,1,40351.9,0.9,9,0
191,IT,2002,1,38865.97,0.75,14,7
192,IT,2002,1,42974.72,0.75,18,15
193,R&D,2002,1,34927.54,0.75,13,16
194,Sales,2002,1,45820.5,0.8,1,7
195,Finance,2002,1,37712.32,1.0,9,17
196,Procurement,2002,1,37122.93,0.85,12,10
197,R&D,2002,1,49611.07,0.9,20,1
198,R&D,2002,1,36646.44,0.85,4,12
199,Support,2002,1,36221.03,0.85,4,14
200,Support,2002,1,41238.29,1.0,0,13
201,Procurement,2002,1,45245.67,0.8,17,2
202,Marketing,2002,1,31846.17,0.8,13,18
203,HR,2002,1,32694.13,0.85,8,4
204,Sales,2002,1,46094.25,0.75,5,17
205,Logistics,2002,1,34308.3,1.0,2,18
206,Finance,2002,1,49108.61,0.85,15,2
207,Finance,2002,1,45402.35,0.75,5,9
208,Logistics,2002,1,37127.7,0.75,13,6
209,HR,2002,1,46033.38,0.85,4,2
210,Sales,2002,1,39835.24,0.85,1,12
211,IT,2002,1,40921.82,1.0,9,7
212,Operations,2002,1,33084.19,0.8,14,3
213,Finance,2002,1,48761.38,1.0,14,2
214,Marketing,2002,1,44948.18,0.8,8,2
215,Finance,2002,1,41409.47,0.9,18,13
216,R&D,2002,1,33750.23,0.85,10,5
217,Operations,2002,1,41253.59,0.9,2,6
218,IT,2002,1,39359.47,0.9,3,20
219,Support,2002,1,31137.73,0.8,4,15
220,Operations,2002,1,43723.6,1.0,7,6
221,HR,2002,1,41169.96,0.9,13,2
222,HR,2002,1,36456.87,0.75,17,4
223,Logistics,2002,1,35298.4,0.9,18,2
224,Procurement,2002,1,33082.72,0.75,13,7
225,Finance,2002,1,36302.23,0.9,3,4
226,Procurement,2002,1,35049.17,0.9,0,15
227,Logistics,2002,1,33993.82,0.9,12,16
228,HR,2002,1,34614.74,0.9,11,14
229,IT,2002,1,46750.5,0.75,18,17
230,IT,2002,1,31503.32,0.75,15,8
231,IT,2002,1,43727.22,0.85,3,4
232,Finance,2002,1,32139.18,0.9,9,9
233,HR,2002,1,31996.54,0.85,4,3
234,Procurement,2002,1,31028.74,0.9,16,2
235,Finance,2002,1,36052.64,0.85,4,16
236,IT,2002,1,43471.91,0.85,12,17
237,R&D,2002,1,45252.64,0.85,0,14
238,Operations,2002,1,32239.37,0.9,7,16
239,Operations,2002,1,41307.24,0.85,1,9
240,Procurement,2002,1,46130.85,0.8,14,18
241,Marketing,2002,1,43102.48,0.75,13,5
242,Sales,2002,1,46456.64,0.85,10,3
243,Operations,2002,1,30179.85,0.85,3,6
244,Marketing,2002,1,40979.62,0.75,3,15
245,R&D,2002,1,31550.99,0.85,2,3
246,Logistics,2002,1,42916.89,0.8,11,0
247,R&D,2002,1,44062.39,0.9,17,10
248,Operations,2002,1,49290.62,1.0,12,16
249,Finance,2002,1,42827.61,0.9,19,10
250,Procurement,2002,1,32412.25,0.85,10,8
251,Marketing,2002,1,33872.32,0.85,8,14
252,IT,2002,1,36539.18,1.0,10,1
253,IT,2002,1,30852.13,0.75,4,0
254,Marketing,2002,1,39629.94,1.0,14,7
255,Operations,2002,1,31321.07,0.75,6,18
256,IT,2002,1,35921.81,0.75,9,6
257,R&D,2002,1,49170.15,1.0,6,15
258,Support,2002,1,32964.91,0.85,17,14
259,Marketing,2002,1,30976.32,0.9,5,10
260,Marketing,2002,1,30298.45,0.85,18,19
261,Finance,2002,1,40236.26,0.75,6,8
262,Sales,2002,1,31836.72,1.0,16,15
263,R&D,2002,1,49599.28,0.9,12,6
264,Procurement,2002,1,41312.35,0.9,13,9
265,Support,2002,1,46767.65,0.9,0,5
266,Logistics,2002,1,42289.37,0.9,14,9
267,Logistics,2002,1,44827.43,0.75,16,6
268,Marketing,2002,1,31574.8,0.8,20,20
269,Logistics,2002,1,38917.4,0.8,14,0
270,Procurement,2002,1,44550.77,0.75,4,1
271,Procurement,2002,1,38782.89,0.85,0,10
272,HR,2002,1,30820.59,0.75,0,13
273,Sales,2002,1,45815.27,1.0,16,5
274,Sales,2002,1,43750.1,0.85,8,17
275,Procurement,2002,1,34343.45,0.9,3,0
276,Operations,2002,1,39556.37,0.75,15,5
277,Sales,2002,1,31278.84,1.0,18,0
278,Procurement,2002,1,43388.84,0.8,13,18
279,Procurement,2002,1,43821.75,0.75,9,1
280,IT,2002,1,43353.64,0.8,19,9
281,IT,2002,1,41460.8,1.0,20,9
282,Logistics,2002,1,40347.75,0.9,8,3
283,R&D,2002,1,37165.85,0.8,5,19
284,Procurement,2002,1,34128.02,1.0,8,16
285,Operations,2002,1,48679.41,0.75,0,8
286,R&D,2002,1,49119.93,0.9,0,18
287,IT,2002,1,36361.89,0.85,19,2
288,Finance,2002,1,43370.99,0.85,12,2
289,HR,2002,1,37055.44,1.0,12,18
290,Marketing,2002,1,36857.5,1.0,13,2
291,Support,2002,1,38704.18,0.75,0,8
292,Logistics,2002,1,49553.52,0.8,20,11
293,Finance,2002,1,43878.05,1.0,3,20
294,Support,2002,1,47596.04,0.85,3,6
295,Marketing,2002,1,33096.09,1.0,2,9
296,Procurement,2002,1,33302.13,1.0,17,18
297,Logistics,2002,1,30162.21,0.75,18,13
298,HR,2002,1,34783.32,0.75,18,1
299,R&D,2002,1,37357.32,1.0,9,18
300,Sales,2002,1,31101.31,0.85,14,2
301,Finance,2002,1,46849.89,0.75,12,13
302,IT,2002,1,38342.6,0.8,8,2
303,HR,2002,1,34241.71,0.9,9,20
304,Operations,2002,1,44482.38,1.0,4,6
305,Logistics,2002,1,36817.89,1.0,2,14
306,Support,2002,1,32417.15,0.8,17,5
307,IT,2002,1,43416.43,0.85,18,12
308,Finance,2002,1,36205.98,0.8,13,1
309,IT,2002,1,30366.38,0.75,7,18
310,Sales,2002,1,35399.09,0.85,13,14
311,Support,2002,1,45360.03,1.0,19,11
312,Marketing,2002,1,36474.53,0.9,19,7
313,Sales,2002,1,35616.46,0.85,11,2
314,Sales,2002,1,48832.74,0.85,7,3
315,Procurement,2002,1,45108.82,0.75,19,13
316,R&D,2002,1,49684.78,1.0,17,17
317,IT,2002,1,38192.02,1.0,8,15
318,Procurement,2002,1,30480.76,0.8,10,1
319,R&D,2002,1,30520.85,0.75,1,9
320,IT,2002,1,41706.75,0.75,5,9
321,Sales,2002,1,47414.24,0.9,16,3
322,IT,2002,1,41800.52,0.9,9,2
323,Operations,2002,1,46119.95,0.75,19,2
324,Finance,2002,1,46783.22,0.9,1,5
325,Finance,2002,1,30598.64,1.0,14,19
326,Logistics,2002,1,43009.83,0.85,4,13
327,Support,2002,1,45262.0,0.8,1,8
328,Sales,2002,1,32695.82,0.85,6,0
329,Support,2002,1,44958.56,0.9,12,18
330,Procurement,2002,1,43707.34,0.75,14,11
331,HR,2002,1,49640.71,1.0,9,4
332,Procurement,2002,1,46489.99,1.0,5,1
333,Logistics,2002,1,41794.49,0.75,8,8
334,Procurement,2002,1,32489.2,1.0,11,7
335,Sales,2002,1,49173.29,0.75,1,13
336,Sales,2002,1,36722.82,1.0,4,6
337,Finance,2002,1,30815.53,0.9,0,7
338,Finance,2002,1,32485.34,0.8,4,12
339,R&D,2002,1,30214.61,0.9,15,12
340,Operations,2002,1,39892.54,0.85,17,9
341,Logistics,2002,1,46816.09,0.85,14,11
342,R&D,2002,1,39303.48,0.9,14,8
343,R&D,2002,1,42559.89,0.75,10,17
344,Support,2002,1,36694.93,0.75,17,3
345,Marketing,2002,1,30864.54,1.0,0,8
346,Finance,2002,1,36192.0,1.0,6,8
347,IT,2002,1,32839.24,0.9,8,0
348,IT,2002,1,33790.62,0.8,3,1
349,Logistics,2002,1,46937.64,0.75,12,12
350,Marketing,2002,1,49336.29,0.9,5,2
351,Sales,2002,1,31120.62,0.75,4,12
352,Finance,2002,1,35674.55,0.8,6,7
353,Sales,2002,1,43807.98,0.85,3,13
354,IT,2002,1,41569.38,0.8,10,20
355,Operations,2002,1,38990.08,0.85,5,11
356,Sales,2002,1,39684.09,0.75,13,18
357,Procurement,2002,1,39966.29,1.0,16,9
358,Support,2002,1,40007.74,1.0,8,6
359,Sales,2002,1,47011.51,0.85,19,13
360,Sales,2002,1,36399.82,0.75,4,2
361,R&D,2002,1,48946.19,0.8,11,4
362,HR,2002,1,39696.05,0.85,11,13
363,Operations,2002,1,33060.07,0.85,12,0
364,Procurement,2002,1,49825.12,0.75,10,12
365,Finance,2002,1,49605.45,0.9,12,7
366,Procurement,2002,1,45391.43,0.8,20,16
367,Logistics,2002,1,42370.59,0.75,16,19
368,Operations,2002,1,45747.77,0.8,15,7
369,Finance,2002,1,34064.97,0.8,2,0
370,Procurement,2002,1,34550.42,0.85,5,16
371,HR,2002,1,30967.6,0.75,13,20
372,Support,2002,1,43301.61,1.0,7,13
373,Finance,2002,1,38846.57,0.8,6,2
374,Support,2002,1,42507.93,0.85,6,19
375,IT,2002,1,44584.09,0.75,14,17
376,Logistics,2002,1,42788.03,0.8,16,16
377,Sales,2002,1,48959.28,0.9,6,16
378,Finance,2002,1,38760.95,0.8,6,11
379,HR,2002,1,49950.99,1.0,10,4
380,IT,2002,1,43444.53,0.9,0,18
381,R&D,2002,1,36697.28,0.9,18,13
382,Procurement,2002,1,40877.2,1.0,15,0
383,Finance,2002,1,41100.49,1.0,5,0
384,Operations,2002,1,43653.29,1.0,20,2
385,HR,2002,1,42783.4,0.85,14,9
386,Sales,2002,1,32234.53,0.85,5,17
387,HR,2002,1,38580.59,0.75,2,20
388,Marketing,2002,1,45687.19,0.85,7,18
389,Finance,2002,1,45254.21,0.8,7,12
390,IT,2002,1,34374.55,0.8,18,19
391,Operations,2002,1,49905.8,0.75,1,20
392,Operations,2002,1,46644.61,0.9,15,16
393,HR,2002,1,49816.22,0.75,12,7
394,Sales,2002,1,46242.43,0.8,6,4
395,Logistics,2002,1,49534.65,0.8,5,20
396,R&D,2002,1,40911.8,0.85,5,0
397,R&D,2002,1,46707.69,0.8,8,17
398,Finance,2002,1,34121.47,0.9,11,2
399,Support,2002,1,31828.05,0.9,11,16
400,Finance,2002,1,36826.4,1.0,15,12
401,Sales,2003,1,45913.47,0.85,16,12
402,Finance,2003,1,38077.0,1.0,11,3
403,Operations,2003,1,49567.97,0.8,7,18
404,Support,2003,1,31710.41,1.0,12,15
405,Finance,2003,1,39165.43,0.75,1,6
406,IT,2003,1,48118.43,1.0,15,16
407,Procurement,2003,1,40126.35,0.8,5,10
408,Sales,2003,1,40005.28,1.0,18,5
409,IT,2003,1,47243.07,0.85,8,19
410,HR,2003,1,43992.67,0.75,7,16
411,Sales,2003,1,38613.12,0.75,11,13
412,R&D,2003,1,49394.68,1.0,5,19
413,Marketing,2003,1,33768.68,0.75,10,15
414,Procurement,2003,1,48829.41,0.75,18,7
415,Marketing,2003,1,41121.59,0.8,3,17
416,HR,2003,1,34263.33,0.9,17,8
417,Sales,2003,1,45728.54,0.75,7,1
418,Operations,2003,1,48814.65,0.75,6,13
419,R&D,2003,1,39895.22,0.9,11,15
420,R&D,2003,1,36860.37,1.0,7,1
421,Finance,2003,1,30764.13,0.75,13,8
422,Finance,2003,1,35518.35,0.85,16,3
423,R&D,2003,1,40490.67,1.0,11,15
424,HR,2003,1,39261.7,1.0,10,9
425,HR,2003,1,34784.19,0.9,14,3
426,Sales,2003,1,34853.24,0.8,20,3
427,IT,2003,1,39640.22,0.85,7,1
428,Marketing,2003,1,38370.69,0.8,15,2
429,HR,2003,1,32767.61,1.0,4,5
430,Operations,2003,1,46019.95,0.85,10,16
431,Finance,2003,1,36513.83,0.8,5,11
432,Support,2003,1,41905.26,1.0,4,0
433,Procurement,2003,1,44164.53,0.85,19,19
434,Marketing,2003,1,47071.43,0.85,17,5
435,HR,2003,1,48787.09,0.75,4,10
436,Logistics,2003,1,37978.12,1.0,1,7
437,HR,2003,1,35052.35,0.85,5,13
438,Operations,2003,1,36270.85,0.9,3,20
439,Operations,2003,1,39562.44,0.8,3,17
440,IT,2003,1,40465.72,0.85,8,11
441,Operations,2003,1,33737.94,0.9,19,4
442,Operations,2003,1,36207.65,0.9,3,17
443,Marketing,2003,1,48450.08,0.8,20,17
444,IT,2003,1,30698.05,0.75,8,5
445,Operations,2003,1,45064.88,0.75,13,7
446,HR,2003,1,41941.74,0.8,5,19
447,HR,2003,1,32438.41,0.9,16,10
448,Procurement,2003,1,31946.67,0.9,1,19
449,Marketing,2003,1,35493.32,0.9,14,11
450,Marketing,2003,1,31622.17,0.85,16,19
451,Procurement,2003,1,41308.8,0.85,20,1
452,Support,2003,1,42117.21,1.0,3,17
453,Operations,2003,1,30777.48,0.8,3,18
454,Finance,2003,1,32869.3,1.0,9,1
455,Operations,2003,1,32941.07,1.0,12,13
456,IT,2003,1,41339.88,0.9,12,11
457,IT,2003,1,34999.7,0.75,8,13
458,HR,2003,1,43832.06,0.85,2,7
459,IT,2003,1,34339.91,0.9,4,6
460,Sales,2003,1,32141.53,0.9,14,6
461,Finance,2003,1,48202.8,1.0,1,5
462,Support,2003,1,45538.76,0.8,15,9
463,Finance,2003,1,49361.04,1.0,5,0
464,Procurement,2003,1,41354.93,0.85,13,12
465,IT,2003,1,42020.87,0.75,12,1
466,Operations,2003,1,36175.48,0.8,15,13
467,Sales,2003,1,36243.1,1.0,10,8
468,Sales,2003,1,36298.73,0.85,6,8
469,Operations,2003,1,39183.49,1.0,9,3
470,Logistics,2003,1,36789.37,0.85,17,19
471,Procurement,2003,1,45481.2,0.85,7,5
472,Logistics,2003,1,32105.27,0.9,10,6
473,Finance,2003,1,34373.28,0.8,6,2
474,IT,2003,1,39654.15,0.75,7,10
475,Finance,2003,1,36623.09,0.85,0,5
476,Procurement,2003,1,36978.95,1.0,9,9
477,Sales,2003,1,37072.07,0.85,1,19
478,Finance,2003,1,43888.42,0.8,17,19
479,Operations,2003,1,44521.9,0.8,14,17
480,Finance,2003,1,31329.61,0.75,15,15
481,IT,2003,1,35274.31,0.85,20,4
482,HR,2003,1,37213.96,0.75,12,3
483,Logistics,2003,1,39949.73,0.9,12,0
484,Logistics,2003,1,49129.2,1.0,18,8
485,Finance,2003,1,44285.53,1.0,1,15
486,HR,2003,1,31832.62,0.75,19,13
487,HR,2003,1,34475.65,0.75,12,18
488,Finance,2003,1,35392.2,0.75,19,4
489,Finance,2003,1,46707.36,1.0,3,9
490,Finance,2003,1,38423.99,1.0,13,3
491,Support,2003,1,46161.44,1.0,0,20
492,Operations,2003,1,34541.57,0.75,11,1
493,Logistics,2003,1,45629.11,0.9,14,7
494,Marketing,2003,1,41815.62,1.0,6,10
495,Logistics,2003,1,43324.25,0.85,19,15
496,Support,2003,1,40832.8,0.9,17,3
497,R&D,2003,1,35548.24,0.75,5,8
498,HR,2003,1,41539.67,0.75,0,12
499,Support,2003,1,34422.98,1.0,16,1
500,IT,2003,1,46417.74,0.8,14,19
501,R&D,2003,1,31356.22,0.85,2,12
502,HR,2003,1,32601.54,0.8,19,4
503,Sales,2003,1,39531.31,0.9,1,7
504,Procurement,2003,1,42562.06,0.8,20,10
505,Sales,2003,1,46586.2,1.0,20,12
506,Procurement,2003,1,38482.4,0.8,10,5
507,Sales,2003,1,42622.42,0.8,3,10
508,HR,2003,1,46200.24,0.9,2,19
509,Logistics,2003,1,36009.68,0.8,10,2
510,Sales,2003,1,38291.45,0.9,19,0
511,Finance,2003,1,39446.01,0.85,20,0
512,Sales,2003,1,35896.94,0.75,17,19
513,IT,2003,1,36964.03,0.8,17,6
514,Logistics,2003,1,47837.51,0.75,3,0
515,Support,2003,1,34504.26,1.0,1,20
516,Sales,2003,1,48143.87,0.85,12,6
517,Operations,2003,1,41709.2,0.9,14,12
518,Operations,2003,1,39373.99,0.9,8,14
519,Finance,2003,1,49346.97,0.8,13,17
520,Support,2003,1,38425.87,0.8,12,14
521,Marketing,2003,1,37983.97,0.85,14,9
522,Sales,2003,1,30653.07,0.9,17,2
523,Finance,2003,1,38617.36,0.85,4,17
524,Logistics,2003,1,38991.76,1.0,1,1
525,Finance,2003,1,43911.77,0.75,6,15
526,Finance,2003,1,43308.93,0.75,13,1
527,Procurement,2003,1,48777.46,0.9,20,11
528,Sales,2003,1,48090.48,0.8,8,3
529,Sales,2003,1,30504.09,0.9,2,16
530,Logistics,2003,1,35654.2,0.75,0,5
531,HR,2003,1,39126.91,0.75,9,11
532,Operations,2003,1,42022.47,0.75,3,2
533,Sales,2003,1,48879.93,1.0,14,18
534,Procurement,2003,1,33528.96,0.85,13,5
535,Logistics,2003,1,46278.44,1.0,12,20
536,HR,2003,1,48735.54,1.0,11,16
537,Support,2003,1,33432.93,1.0,4,5
538,Procurement,2003,1,48892.7,0.75,6,7
539,Procurement,2003,1,41125.64,0.85,10,12
540,IT,2003,1,49911.28,1.0,3,19
541,Marketing,2003,1,34392.88,0.85,14,5
542,HR,2003,1,30797.33,1.0,4,5
543,Sales,2003,1,36701.53,0.9,3,8
544,HR,2003,1,45295.51,0.85,14,0
545,Sales,2003,1,44321.27,0.9,11,5
546,Procurement,2003,1,40686.64,1.0,3,5
547,HR,2003,1,35101.48,0.85,1,1
548,Marketing,2003,1,43626.08,0.8,14,19
549,Finance,2003,1,45086.47,0.85,12,2
550,Finance,2003,1,37451.41,0.75,2,2
551,HR,2003,1,49385.01,1.0,13,1
552,Finance,2003,1,45091.96,0.85,19,17
553,R&D,2003,1,30566.9,0.9,0,11
554,Sales,2003,1,44419.38,0.75,12,7
555,Sales,2003,1,48385.46,0.75,5,15
556,R&D,2003,1,47850.28,0.8,17,7
557,Sales,2003,1,30837.17,0.9,5,0
558,Support,2003,1,42250.9,0.75,6,17
559,HR,2003,1,43390.58,0.9,15,9
560,R&D,2003,1,32078.49,0.8,0,5
561,Marketing,2003,1,48943.87,1.0,0,4
562,Operations,2003,1,39762.95,0.8,4,5
563,Logistics,2003,1,35138.15,0.75,6,11
564,Logistics,2003,1,44998.58,0.75,8,6
565,Logistics,2003,1,30618.56,1.0,0,11
566,Sales,2003,1,44744.37,0.75,20,9
567,Support,2003,1,38009.06,0.75,2,10
568,HR,2003,1,39115.69,0.85,3,7
569,Logistics,2003,1,32304.24,1.0,9,15
570,Support,2003,1,42815.24,1.0,12,18
571,Finance,2003,1,36964.82,0.8,17,5
572,Sales,2003,1,31139.48,0.75,12,18
573,IT,2003,1,46196.22,0.75,8,14
574,R&D,2003,1,37683.35,0.85,17,10
575,Logistics,2003,1,32794.75,0.9,12,20
576,IT,2003,1,39924.89,0.85,16,4
577,R&D,2003,1,33308.42,0.85,17,5
578,Finance,2003,1,31212.21,0.85,0,8
579,HR,2003,1,38159.62,0.8,13,0
