id,googleTopic,week_id,value
frozen-yogurt,/m/020b3f,2006-10,6
frozen-yogurt,/m/020b3f,2006-11,3
frozen-yogurt,/m/020b3f,2006-12,11
frozen-yogurt,/m/020b3f,2006-13,11
frozen-yogurt,/m/020b3f,2006-14,15
frozen-yogurt,/m/020b3f,2006-15,7
frozen-yogurt,/m/020b3f,2006-16,15
frozen-yogurt,/m/020b3f,2006-17,10
frozen-yogurt,/m/020b3f,2006-18,16
frozen-yogurt,/m/020b3f,2006-19,12
frozen-yogurt,/m/020b3f,2006-20,17
frozen-yogurt,/m/020b3f,2006-21,15
frozen-yogurt,/m/020b3f,2006-22,13
frozen-yogurt,/m/020b3f,2006-23,16
frozen-yogurt,/m/020b3f,2006-24,18
frozen-yogurt,/m/020b3f,2006-25,29
frozen-yogurt,/m/020b3f,2006-26,22
frozen-yogurt,/m/020b3f,2006-27,18
frozen-yogurt,/m/020b3f,2006-28,25
frozen-yogurt,/m/020b3f,2006-29,23
frozen-yogurt,/m/020b3f,2006-30,23
frozen-yogurt,/m/020b3f,2006-31,22
frozen-yogurt,/m/020b3f,2006-32,17
frozen-yogurt,/m/020b3f,2006-33,12
frozen-yogurt,/m/020b3f,2006-34,16
frozen-yogurt,/m/020b3f,2006-35,17
frozen-yogurt,/m/020b3f,2006-36,13
frozen-yogurt,/m/020b3f,2006-37,13
frozen-yogurt,/m/020b3f,2006-38,13
frozen-yogurt,/m/020b3f,2006-39,16
frozen-yogurt,/m/020b3f,2006-40,8
frozen-yogurt,/m/020b3f,2006-41,5
frozen-yogurt,/m/020b3f,2006-42,13
frozen-yogurt,/m/020b3f,2006-43,10
frozen-yogurt,/m/020b3f,2006-44,9
frozen-yogurt,/m/020b3f,2006-45,6
frozen-yogurt,/m/020b3f,2006-46,8
frozen-yogurt,/m/020b3f,2006-47,7
frozen-yogurt,/m/020b3f,2006-48,4
frozen-yogurt,/m/020b3f,2006-49,6
frozen-yogurt,/m/020b3f,2006-50,7
frozen-yogurt,/m/020b3f,2006-51,6
frozen-yogurt,/m/020b3f,2006-52,10
frozen-yogurt,/m/020b3f,2007-01,10
frozen-yogurt,/m/020b3f,2007-02,14
frozen-yogurt,/m/020b3f,2007-03,9
frozen-yogurt,/m/020b3f,2007-04,9
frozen-yogurt,/m/020b3f,2007-05,13
frozen-yogurt,/m/020b3f,2007-06,8
frozen-yogurt,/m/020b3f,2007-07,11
frozen-yogurt,/m/020b3f,2007-08,11
frozen-yogurt,/m/020b3f,2007-09,12
frozen-yogurt,/m/020b3f,2007-10,18
frozen-yogurt,/m/020b3f,2007-11,12
frozen-yogurt,/m/020b3f,2007-12,10
frozen-yogurt,/m/020b3f,2007-13,13
frozen-yogurt,/m/020b3f,2007-14,16
frozen-yogurt,/m/020b3f,2007-15,15
frozen-yogurt,/m/020b3f,2007-16,18
frozen-yogurt,/m/020b3f,2007-17,18
frozen-yogurt,/m/020b3f,2007-18,23
frozen-yogurt,/m/020b3f,2007-19,23
frozen-yogurt,/m/020b3f,2007-20,16
frozen-yogurt,/m/020b3f,2007-21,23
frozen-yogurt,/m/020b3f,2007-22,23
frozen-yogurt,/m/020b3f,2007-23,22
frozen-yogurt,/m/020b3f,2007-24,23
frozen-yogurt,/m/020b3f,2007-25,26
frozen-yogurt,/m/020b3f,2007-26,26
frozen-yogurt,/m/020b3f,2007-27,33
frozen-yogurt,/m/020b3f,2007-28,26
frozen-yogurt,/m/020b3f,2007-29,23
frozen-yogurt,/m/020b3f,2007-30,24
frozen-yogurt,/m/020b3f,2007-31,27
frozen-yogurt,/m/020b3f,2007-32,21
frozen-yogurt,/m/020b3f,2007-33,17
frozen-yogurt,/m/020b3f,2007-34,18
frozen-yogurt,/m/020b3f,2007-35,22
frozen-yogurt,/m/020b3f,2007-36,16
frozen-yogurt,/m/020b3f,2007-37,12
frozen-yogurt,/m/020b3f,2007-38,18
frozen-yogurt,/m/020b3f,2007-39,12
frozen-yogurt,/m/020b3f,2007-40,13
frozen-yogurt,/m/020b3f,2007-41,12
frozen-yogurt,/m/020b3f,2007-42,9
frozen-yogurt,/m/020b3f,2007-43,19
frozen-yogurt,/m/020b3f,2007-44,7
frozen-yogurt,/m/020b3f,2007-45,10
frozen-yogurt,/m/020b3f,2007-46,6
frozen-yogurt,/m/020b3f,2007-47,9
frozen-yogurt,/m/020b3f,2007-48,7
frozen-yogurt,/m/020b3f,2007-49,11
frozen-yogurt,/m/020b3f,2007-50,6
frozen-yogurt,/m/020b3f,2007-51,15
frozen-yogurt,/m/020b3f,2007-52,15
frozen-yogurt,/m/020b3f,2008-01,14
frozen-yogurt,/m/020b3f,2008-02,15
frozen-yogurt,/m/020b3f,2008-03,16
frozen-yogurt,/m/020b3f,2008-04,15
frozen-yogurt,/m/020b3f,2008-05,11
frozen-yogurt,/m/020b3f,2008-06,18
frozen-yogurt,/m/020b3f,2008-07,14
frozen-yogurt,/m/020b3f,2008-08,9
frozen-yogurt,/m/020b3f,2008-09,16
frozen-yogurt,/m/020b3f,2008-10,22
frozen-yogurt,/m/020b3f,2008-11,13
frozen-yogurt,/m/020b3f,2008-12,12
frozen-yogurt,/m/020b3f,2008-13,14
frozen-yogurt,/m/020b3f,2008-14,16
frozen-yogurt,/m/020b3f,2008-15,26
frozen-yogurt,/m/020b3f,2008-16,26
frozen-yogurt,/m/020b3f,2008-17,16
frozen-yogurt,/m/020b3f,2008-18,31
frozen-yogurt,/m/020b3f,2008-19,16
frozen-yogurt,/m/020b3f,2008-20,27
frozen-yogurt,/m/020b3f,2008-21,31
frozen-yogurt,/m/020b3f,2008-22,25
frozen-yogurt,/m/020b3f,2008-23,34
frozen-yogurt,/m/020b3f,2008-24,31
frozen-yogurt,/m/020b3f,2008-25,36
frozen-yogurt,/m/020b3f,2008-26,34
frozen-yogurt,/m/020b3f,2008-27,35
frozen-yogurt,/m/020b3f,2008-28,38
frozen-yogurt,/m/020b3f,2008-29,30
frozen-yogurt,/m/020b3f,2008-30,34
frozen-yogurt,/m/020b3f,2008-31,27
frozen-yogurt,/m/020b3f,2008-32,33
frozen-yogurt,/m/020b3f,2008-33,26
frozen-yogurt,/m/020b3f,2008-34,24
frozen-yogurt,/m/020b3f,2008-35,26
frozen-yogurt,/m/020b3f,2008-36,20
frozen-yogurt,/m/020b3f,2008-37,24
frozen-yogurt,/m/020b3f,2008-38,16
frozen-yogurt,/m/020b3f,2008-39,20
frozen-yogurt,/m/020b3f,2008-40,13
frozen-yogurt,/m/020b3f,2008-41,16
frozen-yogurt,/m/020b3f,2008-42,14
frozen-yogurt,/m/020b3f,2008-43,11
frozen-yogurt,/m/020b3f,2008-44,15
frozen-yogurt,/m/020b3f,2008-45,13
frozen-yogurt,/m/020b3f,2008-46,12
frozen-yogurt,/m/020b3f,2008-47,11
frozen-yogurt,/m/020b3f,2008-48,11
frozen-yogurt,/m/020b3f,2008-49,8
frozen-yogurt,/m/020b3f,2008-50,5
frozen-yogurt,/m/020b3f,2008-51,9
frozen-yogurt,/m/020b3f,2008-52,15
frozen-yogurt,/m/020b3f,2009-01,16
frozen-yogurt,/m/020b3f,2009-02,18
frozen-yogurt,/m/020b3f,2009-03,15
frozen-yogurt,/m/020b3f,2009-04,17
frozen-yogurt,/m/020b3f,2009-05,17
frozen-yogurt,/m/020b3f,2009-06,20
frozen-yogurt,/m/020b3f,2009-07,17
frozen-yogurt,/m/020b3f,2009-08,17
frozen-yogurt,/m/020b3f,2009-09,17
frozen-yogurt,/m/020b3f,2009-10,20
frozen-yogurt,/m/020b3f,2009-11,19
frozen-yogurt,/m/020b3f,2009-12,21
frozen-yogurt,/m/020b3f,2009-13,23
frozen-yogurt,/m/020b3f,2009-14,24
frozen-yogurt,/m/020b3f,2009-15,20
frozen-yogurt,/m/020b3f,2009-16,27
frozen-yogurt,/m/020b3f,2009-17,27
frozen-yogurt,/m/020b3f,2009-18,27
frozen-yogurt,/m/020b3f,2009-19,33
frozen-yogurt,/m/020b3f,2009-20,27
frozen-yogurt,/m/020b3f,2009-21,36
frozen-yogurt,/m/020b3f,2009-22,32
frozen-yogurt,/m/020b3f,2009-23,41
frozen-yogurt,/m/020b3f,2009-24,40
frozen-yogurt,/m/020b3f,2009-25,42
frozen-yogurt,/m/020b3f,2009-26,48
frozen-yogurt,/m/020b3f,2009-27,37
frozen-yogurt,/m/020b3f,2009-28,42
frozen-yogurt,/m/020b3f,2009-29,42
frozen-yogurt,/m/020b3f,2009-30,38
frozen-yogurt,/m/020b3f,2009-31,41
frozen-yogurt,/m/020b3f,2009-32,35
frozen-yogurt,/m/020b3f,2009-33,36
frozen-yogurt,/m/020b3f,2009-34,22
frozen-yogurt,/m/020b3f,2009-35,39
frozen-yogurt,/m/020b3f,2009-36,24
frozen-yogurt,/m/020b3f,2009-37,22
frozen-yogurt,/m/020b3f,2009-38,25
frozen-yogurt,/m/020b3f,2009-39,20
frozen-yogurt,/m/020b3f,2009-40,21
frozen-yogurt,/m/020b3f,2009-41,12
frozen-yogurt,/m/020b3f,2009-42,15
frozen-yogurt,/m/020b3f,2009-43,19
frozen-yogurt,/m/020b3f,2009-44,16
frozen-yogurt,/m/020b3f,2009-45,15
frozen-yogurt,/m/020b3f,2009-46,16
frozen-yogurt,/m/020b3f,2009-47,11
frozen-yogurt,/m/020b3f,2009-48,13
frozen-yogurt,/m/020b3f,2009-49,13
frozen-yogurt,/m/020b3f,2009-50,11
frozen-yogurt,/m/020b3f,2009-51,11
frozen-yogurt,/m/020b3f,2009-52,18
frozen-yogurt,/m/020b3f,2010-01,17
frozen-yogurt,/m/020b3f,2010-02,18
frozen-yogurt,/m/020b3f,2010-03,21
frozen-yogurt,/m/020b3f,2010-04,19
frozen-yogurt,/m/020b3f,2010-05,20
frozen-yogurt,/m/020b3f,2010-06,18
frozen-yogurt,/m/020b3f,2010-07,19
frozen-yogurt,/m/020b3f,2010-08,23
frozen-yogurt,/m/020b3f,2010-09,21
frozen-yogurt,/m/020b3f,2010-10,22
frozen-yogurt,/m/020b3f,2010-11,29
frozen-yogurt,/m/020b3f,2010-12,29
frozen-yogurt,/m/020b3f,2010-13,25
frozen-yogurt,/m/020b3f,2010-14,32
frozen-yogurt,/m/020b3f,2010-15,29
frozen-yogurt,/m/020b3f,2010-16,30
frozen-yogurt,/m/020b3f,2010-17,28
frozen-yogurt,/m/020b3f,2010-18,33
frozen-yogurt,/m/020b3f,2010-19,33
frozen-yogurt,/m/020b3f,2010-20,40
frozen-yogurt,/m/020b3f,2010-21,37
frozen-yogurt,/m/020b3f,2010-22,47
frozen-yogurt,/m/020b3f,2010-23,45
frozen-yogurt,/m/020b3f,2010-24,49
frozen-yogurt,/m/020b3f,2010-25,54
frozen-yogurt,/m/020b3f,2010-26,57
frozen-yogurt,/m/020b3f,2010-27,49
frozen-yogurt,/m/020b3f,2010-28,56
frozen-yogurt,/m/020b3f,2010-29,61
frozen-yogurt,/m/020b3f,2010-30,48
frozen-yogurt,/m/020b3f,2010-31,59
frozen-yogurt,/m/020b3f,2010-32,48
frozen-yogurt,/m/020b3f,2010-33,56
frozen-yogurt,/m/020b3f,2010-34,44
frozen-yogurt,/m/020b3f,2010-35,44
frozen-yogurt,/m/020b3f,2010-36,40
frozen-yogurt,/m/020b3f,2010-37,31
frozen-yogurt,/m/020b3f,2010-38,40
frozen-yogurt,/m/020b3f,2010-39,35
frozen-yogurt,/m/020b3f,2010-40,28
frozen-yogurt,/m/020b3f,2010-41,27
frozen-yogurt,/m/020b3f,2010-42,25
frozen-yogurt,/m/020b3f,2010-43,25
frozen-yogurt,/m/020b3f,2010-44,20
frozen-yogurt,/m/020b3f,2010-45,25
frozen-yogurt,/m/020b3f,2010-46,23
frozen-yogurt,/m/020b3f,2010-47,24
frozen-yogurt,/m/020b3f,2010-48,18
frozen-yogurt,/m/020b3f,2010-49,19
frozen-yogurt,/m/020b3f,2010-50,15
frozen-yogurt,/m/020b3f,2010-51,18
frozen-yogurt,/m/020b3f,2010-52,29
frozen-yogurt,/m/020b3f,2011-01,35
frozen-yogurt,/m/020b3f,2011-02,27
frozen-yogurt,/m/020b3f,2011-03,30
frozen-yogurt,/m/020b3f,2011-04,33
frozen-yogurt,/m/020b3f,2011-05,30
frozen-yogurt,/m/020b3f,2011-06,28
frozen-yogurt,/m/020b3f,2011-07,33
frozen-yogurt,/m/020b3f,2011-08,36
frozen-yogurt,/m/020b3f,2011-09,38
frozen-yogurt,/m/020b3f,2011-10,37
frozen-yogurt,/m/020b3f,2011-11,38
frozen-yogurt,/m/020b3f,2011-12,41
frozen-yogurt,/m/020b3f,2011-13,45
frozen-yogurt,/m/020b3f,2011-14,53
frozen-yogurt,/m/020b3f,2011-15,48
frozen-yogurt,/m/020b3f,2011-16,45
frozen-yogurt,/m/020b3f,2011-17,45
frozen-yogurt,/m/020b3f,2011-18,44
frozen-yogurt,/m/020b3f,2011-19,50
frozen-yogurt,/m/020b3f,2011-20,52
frozen-yogurt,/m/020b3f,2011-21,58
frozen-yogurt,/m/020b3f,2011-22,61
frozen-yogurt,/m/020b3f,2011-23,69
frozen-yogurt,/m/020b3f,2011-24,74
frozen-yogurt,/m/020b3f,2011-25,67
frozen-yogurt,/m/020b3f,2011-26,68
frozen-yogurt,/m/020b3f,2011-27,80
frozen-yogurt,/m/020b3f,2011-28,72
frozen-yogurt,/m/020b3f,2011-29,84
frozen-yogurt,/m/020b3f,2011-30,77
frozen-yogurt,/m/020b3f,2011-31,66
frozen-yogurt,/m/020b3f,2011-32,65
frozen-yogurt,/m/020b3f,2011-33,59
frozen-yogurt,/m/020b3f,2011-34,59
frozen-yogurt,/m/020b3f,2011-35,49
frozen-yogurt,/m/020b3f,2011-36,53
frozen-yogurt,/m/020b3f,2011-37,37
frozen-yogurt,/m/020b3f,2011-38,46
frozen-yogurt,/m/020b3f,2011-39,37
frozen-yogurt,/m/020b3f,2011-40,39
frozen-yogurt,/m/020b3f,2011-41,39
frozen-yogurt,/m/020b3f,2011-42,32
frozen-yogurt,/m/020b3f,2011-43,33
frozen-yogurt,/m/020b3f,2011-44,27
frozen-yogurt,/m/020b3f,2011-45,31
frozen-yogurt,/m/020b3f,2011-46,30
frozen-yogurt,/m/020b3f,2011-47,33
frozen-yogurt,/m/020b3f,2011-48,24
frozen-yogurt,/m/020b3f,2011-49,24
frozen-yogurt,/m/020b3f,2011-50,25
frozen-yogurt,/m/020b3f,2011-51,25
frozen-yogurt,/m/020b3f,2011-52,34
frozen-yogurt,/m/020b3f,2012-01,40
frozen-yogurt,/m/020b3f,2012-02,42
frozen-yogurt,/m/020b3f,2012-03,44
frozen-yogurt,/m/020b3f,2012-04,45
frozen-yogurt,/m/020b3f,2012-05,42
frozen-yogurt,/m/020b3f,2012-06,40
frozen-yogurt,/m/020b3f,2012-07,36
frozen-yogurt,/m/020b3f,2012-08,51
frozen-yogurt,/m/020b3f,2012-09,47
frozen-yogurt,/m/020b3f,2012-10,47
frozen-yogurt,/m/020b3f,2012-11,55
frozen-yogurt,/m/020b3f,2012-12,55
frozen-yogurt,/m/020b3f,2012-13,50
frozen-yogurt,/m/020b3f,2012-14,55
frozen-yogurt,/m/020b3f,2012-15,55
frozen-yogurt,/m/020b3f,2012-16,60
frozen-yogurt,/m/020b3f,2012-17,61
frozen-yogurt,/m/020b3f,2012-18,62
frozen-yogurt,/m/020b3f,2012-19,63
frozen-yogurt,/m/020b3f,2012-20,68
frozen-yogurt,/m/020b3f,2012-21,76
frozen-yogurt,/m/020b3f,2012-22,79
frozen-yogurt,/m/020b3f,2012-23,81
frozen-yogurt,/m/020b3f,2012-24,79
frozen-yogurt,/m/020b3f,2012-25,95
frozen-yogurt,/m/020b3f,2012-26,88
frozen-yogurt,/m/020b3f,2012-27,94
frozen-yogurt,/m/020b3f,2012-28,87
frozen-yogurt,/m/020b3f,2012-29,88
frozen-yogurt,/m/020b3f,2012-30,82
frozen-yogurt,/m/020b3f,2012-31,78
frozen-yogurt,/m/020b3f,2012-32,81
frozen-yogurt,/m/020b3f,2012-33,72
frozen-yogurt,/m/020b3f,2012-34,71
frozen-yogurt,/m/020b3f,2012-35,66
frozen-yogurt,/m/020b3f,2012-36,68
frozen-yogurt,/m/020b3f,2012-37,60
frozen-yogurt,/m/020b3f,2012-38,57
frozen-yogurt,/m/020b3f,2012-39,53
frozen-yogurt,/m/020b3f,2012-40,49
frozen-yogurt,/m/020b3f,2012-41,42
frozen-yogurt,/m/020b3f,2012-42,43
frozen-yogurt,/m/020b3f,2012-43,41
frozen-yogurt,/m/020b3f,2012-44,31
frozen-yogurt,/m/020b3f,2012-45,29
frozen-yogurt,/m/020b3f,2012-46,37
frozen-yogurt,/m/020b3f,2012-47,32
frozen-yogurt,/m/020b3f,2012-48,26
frozen-yogurt,/m/020b3f,2012-49,32
frozen-yogurt,/m/020b3f,2012-50,29
frozen-yogurt,/m/020b3f,2012-51,25
frozen-yogurt,/m/020b3f,2012-52,32
frozen-yogurt,/m/020b3f,2013-01,45
frozen-yogurt,/m/020b3f,2013-02,48
frozen-yogurt,/m/020b3f,2013-03,52
frozen-yogurt,/m/020b3f,2013-04,48
frozen-yogurt,/m/020b3f,2013-05,42
frozen-yogurt,/m/020b3f,2013-06,44
frozen-yogurt,/m/020b3f,2013-07,48
frozen-yogurt,/m/020b3f,2013-08,50
frozen-yogurt,/m/020b3f,2013-09,56
frozen-yogurt,/m/020b3f,2013-10,59
frozen-yogurt,/m/020b3f,2013-11,60
frozen-yogurt,/m/020b3f,2013-12,59
frozen-yogurt,/m/020b3f,2013-13,57
frozen-yogurt,/m/020b3f,2013-14,66
frozen-yogurt,/m/020b3f,2013-15,72
frozen-yogurt,/m/020b3f,2013-16,69
frozen-yogurt,/m/020b3f,2013-17,69
frozen-yogurt,/m/020b3f,2013-18,67
frozen-yogurt,/m/020b3f,2013-19,78
frozen-yogurt,/m/020b3f,2013-20,73
frozen-yogurt,/m/020b3f,2013-21,89
frozen-yogurt,/m/020b3f,2013-22,88
frozen-yogurt,/m/020b3f,2013-23,89
frozen-yogurt,/m/020b3f,2013-24,95
frozen-yogurt,/m/020b3f,2013-25,97
frozen-yogurt,/m/020b3f,2013-26,100
frozen-yogurt,/m/020b3f,2013-27,89
frozen-yogurt,/m/020b3f,2013-28,91
frozen-yogurt,/m/020b3f,2013-29,88
frozen-yogurt,/m/020b3f,2013-30,83
frozen-yogurt,/m/020b3f,2013-31,76
frozen-yogurt,/m/020b3f,2013-32,71
frozen-yogurt,/m/020b3f,2013-33,63
frozen-yogurt,/m/020b3f,2013-34,58
frozen-yogurt,/m/020b3f,2013-35,62
frozen-yogurt,/m/020b3f,2013-36,50
frozen-yogurt,/m/020b3f,2013-37,45
frozen-yogurt,/m/020b3f,2013-38,44
frozen-yogurt,/m/020b3f,2013-39,44
frozen-yogurt,/m/020b3f,2013-40,38
frozen-yogurt,/m/020b3f,2013-41,39
frozen-yogurt,/m/020b3f,2013-42,34
frozen-yogurt,/m/020b3f,2013-43,31
frozen-yogurt,/m/020b3f,2013-44,28
frozen-yogurt,/m/020b3f,2013-45,29
frozen-yogurt,/m/020b3f,2013-46,30
frozen-yogurt,/m/020b3f,2013-47,23
frozen-yogurt,/m/020b3f,2013-48,20
frozen-yogurt,/m/020b3f,2013-49,22
frozen-yogurt,/m/020b3f,2013-50,23
frozen-yogurt,/m/020b3f,2013-51,25
frozen-yogurt,/m/020b3f,2013-52,36
frozen-yogurt,/m/020b3f,2014-01,36
frozen-yogurt,/m/020b3f,2014-02,40
frozen-yogurt,/m/020b3f,2014-03,45
frozen-yogurt,/m/020b3f,2014-04,36
frozen-yogurt,/m/020b3f,2014-05,39
frozen-yogurt,/m/020b3f,2014-06,35
frozen-yogurt,/m/020b3f,2014-07,40
frozen-yogurt,/m/020b3f,2014-08,42
frozen-yogurt,/m/020b3f,2014-09,42
frozen-yogurt,/m/020b3f,2014-10,57
frozen-yogurt,/m/020b3f,2014-11,51
frozen-yogurt,/m/020b3f,2014-12,52
frozen-yogurt,/m/020b3f,2014-13,51
frozen-yogurt,/m/020b3f,2014-14,56
frozen-yogurt,/m/020b3f,2014-15,55
frozen-yogurt,/m/020b3f,2014-16,57
frozen-yogurt,/m/020b3f,2014-17,55
frozen-yogurt,/m/020b3f,2014-18,60
frozen-yogurt,/m/020b3f,2014-19,61
frozen-yogurt,/m/020b3f,2014-20,68
frozen-yogurt,/m/020b3f,2014-21,70
frozen-yogurt,/m/020b3f,2014-22,69
frozen-yogurt,/m/020b3f,2014-23,72
frozen-yogurt,/m/020b3f,2014-24,76
frozen-yogurt,/m/020b3f,2014-25,71
frozen-yogurt,/m/020b3f,2014-26,85
frozen-yogurt,/m/020b3f,2014-27,77
frozen-yogurt,/m/020b3f,2014-28,70
frozen-yogurt,/m/020b3f,2014-29,70
frozen-yogurt,/m/020b3f,2014-30,69
frozen-yogurt,/m/020b3f,2014-31,72
frozen-yogurt,/m/020b3f,2014-32,59
frozen-yogurt,/m/020b3f,2014-33,51
frozen-yogurt,/m/020b3f,2014-34,51
frozen-yogurt,/m/020b3f,2014-35,45
frozen-yogurt,/m/020b3f,2014-36,42
frozen-yogurt,/m/020b3f,2014-37,41
frozen-yogurt,/m/020b3f,2014-38,34
frozen-yogurt,/m/020b3f,2014-39,35
frozen-yogurt,/m/020b3f,2014-40,33
frozen-yogurt,/m/020b3f,2014-41,32
frozen-yogurt,/m/020b3f,2014-42,29
frozen-yogurt,/m/020b3f,2014-43,26
frozen-yogurt,/m/020b3f,2014-44,26
frozen-yogurt,/m/020b3f,2014-45,28
frozen-yogurt,/m/020b3f,2014-46,26
frozen-yogurt,/m/020b3f,2014-47,20
frozen-yogurt,/m/020b3f,2014-48,20
frozen-yogurt,/m/020b3f,2014-49,21
frozen-yogurt,/m/020b3f,2014-50,22
frozen-yogurt,/m/020b3f,2014-51,24
frozen-yogurt,/m/020b3f,2014-52,28
frozen-yogurt,/m/020b3f,2015-01,31
frozen-yogurt,/m/020b3f,2015-02,31
frozen-yogurt,/m/020b3f,2015-03,39
frozen-yogurt,/m/020b3f,2015-04,35
frozen-yogurt,/m/020b3f,2015-05,33
frozen-yogurt,/m/020b3f,2015-06,33
frozen-yogurt,/m/020b3f,2015-07,31
frozen-yogurt,/m/020b3f,2015-08,33
frozen-yogurt,/m/020b3f,2015-09,37
frozen-yogurt,/m/020b3f,2015-10,50
